index,date,median,max,functions
0,1999-12-29T14:20:26+00:00,56,4108713984,113
267,2000-07-25T07:31:35+00:00,56,338162688,139
534,2000-11-13T19:58:40+00:00,50,1604966400,195
801,2001-01-23T10:14:43+00:00,48,1427300352,201
1068,2001-03-15T14:37:41+00:00,52,98107392,210
1335,2001-05-29T19:17:03+00:00,52,102187008,217
1602,2001-08-23T11:12:07+00:00,60,137465856,228
1869,2001-10-31T14:48:10+00:00,66,44421120,253
2136,2002-01-17T10:40:13+00:00,62,95625216,292
2403,2002-04-02T13:29:05+00:00,60,100417536,291
2670,2002-08-12T09:45:59+00:00,64,143032320,303
2937,2002-12-10T13:08:22+00:00,56,4495990860,321
3204,2003-03-15T16:51:43+00:00,60,4495990860,318
3471,2003-06-12T19:17:08+00:00,57,4572518364,340
3738,2003-08-19T09:56:16+00:00,64,15955984584,359
4005,2003-10-30T10:30:41+00:00,70,1840321658880,357
4272,2004-01-13T08:36:29+00:00,64,1840321658880,363
4539,2004-02-17T07:41:10+00:00,64,1838601732096,367
4806,2004-03-11T21:51:55+00:00,60,1838601732096,379
5073,2004-04-21T06:56:54+00:00,58,1838601732096,395
5340,2004-05-17T10:53:34+00:00,60,990763330536,417
5607,2004-07-01T14:06:44+00:00,64,110084814504,433
5874,2004-09-13T20:48:24+00:00,62,110084814504,440
6141,2004-11-29T08:10:10+00:00,65,110084814504,452
6408,2005-01-30T12:42:15+00:00,65,119268114984,462
6675,2005-04-12T07:19:34+00:00,55,552031150104,530
6942,2005-06-26T10:08:08+00:00,56,552031150104,532
7209,2005-11-10T16:40:08+00:00,56,552031150104,549
7476,2006-02-11T12:56:52+00:00,56,552031150104,550
7743,2006-07-07T07:22:05+00:00,52,3134486595008936376,607
8010,2006-09-24T10:41:00+00:00,54,6169439610741865394656354630340736,635
8277,2006-12-16T22:28:08+00:00,54,124423516301530729196059364855040600960,649
8544,2007-02-25T17:34:10+00:00,56,3486314886378427118581086563916815740032,671
8811,2007-04-16T11:55:43+00:00,56,95765523057591037723803047797913524174080,678
9078,2007-07-13T20:04:53+00:00,56,305165014328640709234508980360912242276672,703
9345,2007-09-28T14:26:11+00:00,56,305165014328640709234508980360912242276672,728
9612,2007-11-20T23:16:19+00:00,56,93157275071876159867097842837563846889664,735
9879,2008-02-06T16:54:01+00:00,60,14079971587197540313888835135956668864,743
10146,2008-05-07T21:20:45+00:00,60,18426927808337181073221618579276288,744
10413,2008-07-27T03:16:37+00:00,60,13267388022002770372719565377078927360,760
10680,2008-08-26T10:48:52+00:00,64,1095544017640182824928965242099890155520,771
10947,2008-10-07T23:20:06+00:00,62,31835331964944446144859549764798714449920,787
11214,2008-11-15T23:47:01+00:00,64,31835331964944446144859549764798714449920,787
11481,2009-02-23T16:28:51+00:00,63,1144909952577175465220391752142519521280,810
11748,2009-05-11T08:55:58+00:00,61,1152504711798251256034457369072154808320,810
12015,2009-07-31T00:10:38+00:00,60,1152504711798251256034457369072154808320,814
12282,2009-11-09T13:24:11+00:00,60,16541385583503072393034913672745655173120,820
12549,2010-01-18T20:20:07+00:00,52,16438856334018549217045027844195578798080,915
12816,2010-03-24T14:19:50-04:00,52,16434584281956694084712115934672658949120,942
13083,2010-06-24T23:45:44+02:00,52,1584499837690006727144694330141449059415040,1010
13350,2010-10-02T10:00:42-07:00,52,32908044660163053360445440,1032
13617,2011-01-12T02:33:39+01:00,52,32908044660163053360445440,1065
13884,2011-04-21T07:55:53-07:00,52,395892491876362583932723200,1094
14151,2011-08-05T13:20:22+02:00,52,395228521240091954861137920,1113
14418,2011-10-03T23:28:17+02:00,52,1191661299446711526227681280,1124
14685,2012-01-04T19:34:52+01:00,52,1201620858990770962301460480,1144
14952,2012-05-22T10:56:50+02:00,53,1201620858990770962301460480,1164
15219,2012-06-28T12:49:12+02:00,52,1201620858990770962301460480,1229
15486,2012-10-09T22:19:49+02:00,52,1205106704831191764927283200,1242
15753,2013-01-20T20:23:20+01:00,52,1198632991127553131479326720,1271
16020,2013-02-28T21:09:27+00:00,52,1198632991127553131479326720,1282
16287,2013-04-15T20:27:45+01:00,49,400208301012121672898027520,1308
16554,2013-07-29T14:51:09+02:00,52,412159772464992996186562560,1375
16821,2013-09-22T12:59:28+01:00,52,136362969424080445576826880,1400
17088,2013-12-02T15:00:13+01:00,52,136362969424080445576826880,1410
17355,2014-01-29T13:57:21+01:00,54,1254157535585684487590645760,1419
17622,2014-03-15T13:07:55+01:00,54,1255153491540090431198023680,1448
17889,2014-05-20T20:02:21+01:00,54,1256149447494496374805401600,1467
18156,2014-08-08T08:34:51+02:00,54,46708489898760225660825600,1481
