index,date,median,max,functions
0,1999-07-27T21:50:26+00:00,18,296640,602
45,1999-09-08T12:23:25+00:00,19,296640,605
90,1999-11-29T01:31:45+00:00,18,296640,601
135,2000-01-28T18:46:41+00:00,18,296640,602
180,2000-04-18T22:48:31+00:00,19,296640,606
225,2000-10-19T13:40:15+00:00,19,296640,606
270,2001-02-19T15:31:17+00:00,18,296640,606
315,2001-06-13T15:23:57+00:00,16,296640,662
360,2001-09-23T00:10:52+00:00,16,296640,663
405,2002-01-16T17:29:20+00:00,16,296640,665
450,2002-03-22T04:39:37+00:00,16,296640,674
495,2002-04-20T12:16:52+00:00,16,301248,676
541,2002-08-15T15:13:33+00:00,18,301248,659
586,2002-10-10T13:30:48+00:00,18,318528,659
631,2003-03-12T14:05:05+00:00,18,318528,660
676,2003-06-09T08:27:32+00:00,18,318528,660
721,2003-08-12T07:51:42+00:00,18,318528,660
766,2003-11-03T14:45:38+00:00,18,318528,661
811,2003-11-26T09:50:27+00:00,18,224799543,668
856,2003-12-23T09:15:22+00:00,18,318528,669
901,2004-01-29T19:54:51+00:00,18,318528,670
946,2004-04-04T17:47:15+00:00,18,318528,672
991,2004-05-03T18:12:57+00:00,18,318528,669
1036,2004-06-05T09:05:26+00:00,18,318528,673
1081,2004-08-01T10:30:15+00:00,19,318528,677
1126,2004-09-02T14:36:33+00:00,18,318528,689
1171,2004-09-14T05:56:06+00:00,18,318528,689
1216,2004-09-28T17:17:19+00:00,19,637056,693
1261,2004-10-18T19:42:13+00:00,19,637056,699
1306,2004-11-05T11:37:29+00:00,19.5,637056,698
1351,2004-11-28T14:44:53+00:00,20,637056,701
1396,2005-01-15T15:44:05+00:00,20,637056,701
1441,2005-03-11T15:28:05+00:00,20,637056,701
1486,2005-04-27T18:38:09+00:00,20,637056,706
1531,2005-06-07T14:22:39+00:00,20,637056,706
1576,2005-07-12T16:06:38+00:00,20,637056,707
1622,2005-09-13T13:40:48+00:00,20,637056,705
1667,2005-11-21T01:07:19+00:00,20,637056,705
1712,2005-12-20T16:50:21+00:00,20,637056,707
1757,2006-01-03T01:45:41+00:00,20,637056,713
1802,2006-03-01T10:41:24+00:00,20,637056,713
1847,2006-03-25T08:01:08+00:00,20,637056,716
1892,2006-06-07T16:34:32+00:00,20,637056,755
1937,2006-10-13T10:15:35+00:00,20,638208,760
1982,2007-03-21T14:54:16+00:00,21,638208,768
2027,2007-05-30T13:53:17+00:00,22,103808142,846
2072,2007-06-28T22:21:25+00:00,26,78298974,898
2117,2007-07-13T14:57:37+00:00,36,78298974,805
2162,2007-11-23T20:55:35+00:00,36,78298974,807
2207,2008-05-18T16:25:47+00:00,36,78298974,808
2252,2008-12-21T21:07:05+00:00,36,78298974,810
2297,2009-06-03T23:47:22+00:00,36,78298974,815
2342,2009-11-02T14:44:13+00:00,36,78298974,816
2387,2010-06-13T19:37:23+00:00,36,78298974,819
2432,2010-12-14T02:22:41+00:00,36,78298974,817
2477,2011-04-09T20:21:27+00:00,36,78298974,834
2522,2012-05-24T05:25:14+00:00,36,78298974,832
2567,2012-07-06T18:48:04+00:00,36,78298974,837
2612,2014-05-07T13:31:11+00:00,36,78298974,844
2657,2015-01-26T12:24:11+00:00,36,78298974,847
2703,2015-06-08T08:44:37+00:00,36,78298974,847
2748,2015-08-29T15:30:11+00:00,36,78298974,848
2793,2015-12-26T17:32:03+00:00,36,78298974,850
2838,2016-10-25T21:35:15+00:00,36,78298974,851
2883,2016-12-03T15:39:49+00:00,36,78298974,851
2928,2017-05-12T21:12:24+00:00,36,78298974,866
2973,2017-07-11T10:54:29+00:00,36,78298974,878
3018,2017-11-30T18:09:43+01:00,36,78298974,880
3063,2018-02-04T23:54:24+00:00,36,78298974,880
3108,2018-09-17T18:33:33+00:00,36,78298974,893
3153,2019-01-28T16:10:28+01:00,36,78298974,906
3198,2019-04-03T14:55:46+02:00,36,78298974,907
3243,2019-08-09T17:26:44+00:00,36,78298974,923
3288,2019-10-23T13:20:38+00:00,36,78298974,927
3333,2020-02-26T21:22:26+00:00,36,78298974,927
3378,2020-03-08T20:33:34+01:00,36,78298974,942
3423,2020-04-02T08:06:58+00:00,36,78298974,942
3468,2020-05-31T21:18:21+02:00,36,78298974,942
3513,2020-11-10T03:00:12+01:00,36,78298974,943
3558,2020-12-28T08:35:19-06:00,36,78298974,943
3603,2021-01-10T18:45:26+00:00,36,78298974,943
3648,2021-01-30T15:19:45+00:00,40,78298974,916
3693,2021-02-13T12:24:52+00:00,40,78298974,916
3738,2021-02-14T11:23:38+00:00,40,78298974,916
3784,2021-05-22T16:58:42+02:00,40,78298974,931
3829,2021-09-28T22:52:13+02:00,40,78298974,933
3874,2022-01-10T18:56:51+01:00,40,78298974,933
3919,2022-02-24T20:30:36+00:00,40,78298974,937
3964,2022-05-10T13:40:05+00:00,40,78298974,941
4009,2022-06-05T08:20:55+01:00,40,78298974,941
4054,2022-06-19T10:06:55+00:00,40,78298974,942
4099,2022-08-16T10:40:07+02:00,40,78298974,940
4144,2022-10-23T14:27:28+02:00,36,78298974,911
4189,2022-11-23T21:29:52+01:00,35,31457280,936
4234,2022-12-13T13:12:49+01:00,32,31457280,958
4279,2023-01-12T21:42:55+00:00,32,31457280,959
4324,2023-04-23T13:49:35+10:00,32,31457280,961
4369,2023-06-09T15:40:17+02:00,33,31457280,962
4414,2023-08-28T17:07:53+02:00,34,31457280,962
4459,2023-10-31T09:14:49-07:00,34,31457280,962
4504,2024-03-19T08:37:46+00:00,36,31064064,962
4549,2024-05-16T18:50:46+02:00,30,31064064,967
4594,2024-05-21T21:28:51+00:00,30,31064064,967
4639,2024-06-13T18:24:50+00:00,30,31064064,967
4684,2024-09-06T14:58:17+00:00,30,31064064,967
4729,2024-10-27T00:04:52+02:00,30,31064064,967
4774,2025-01-25T18:20:18+00:00,30,31064064,966
4819,2025-04-19T19:49:37+00:00,30,31064064,969
4865,2025-06-26T10:36:11+00:00,30,31064064,969
4910,2025-09-17T13:48:55+02:00,30,31064064,970
4955,2025-12-15T17:03:37+00:00,30,31064064,970
5000,2025-12-25T15:07:23+00:00,30,31457280,971
5045,2026-02-26T15:37:11+05:30,30,31457280,971
5090,2026-03-22T15:01:09+01:00,30,31457280,972
5135,2026-04-05T11:53:06+01:00,30,31457280,973
5180,2026-04-18T17:43:25+01:00,30,31457280,974
5225,2026-05-04T12:46:39+00:00,28,31457280,988
5270,2026-06-16T20:43:05+08:00,28,31457280,988
5315,2026-07-17T16:36:20+00:00,28,31457280,994
5360,2026-09-17T14:27:27+00:00,28,31457280,1017
