index,date,median,max,functions
0,2012-04-20T18:55:18+03:00,26,32820693584943807792,4200
10,2012-06-04T17:55:51+03:00,24,32820693584943807792,4951
20,2012-06-16T17:24:35+03:00,24,32820693584943807792,4953
30,2012-06-16T21:41:18+03:00,24,32820693584943807792,4995
40,2012-06-18T18:08:03+03:00,24,32820693584943807792,4995
49,2012-06-18T18:26:55+03:00,24,32820693584943807792,4995
59,2012-06-18T21:46:33+03:00,24,32820693584943807792,4995
69,2012-06-18T22:13:26+03:00,24,32820693584943807792,4995
79,2012-06-18T22:30:49+03:00,24,32820693584943807792,4995
89,2012-06-18T22:41:00+03:00,24,32820693584943807792,4995
99,2012-06-19T10:27:15+03:00,24,32820693584943807792,4995
109,2012-06-19T11:19:23+03:00,24,32820693584943807792,4995
119,2012-06-19T11:54:04+03:00,24,32820693584943807792,4995
129,2012-06-21T12:14:11+03:00,24,32820693584943807792,4995
138,2012-06-21T12:14:11+03:00,24,32820693584943807792,4995
148,2012-06-21T16:07:05+03:00,24,32820693584943807792,4995
158,2012-06-21T16:14:52+03:00,24,32820693584943807792,4995
168,2012-06-22T11:20:49+03:00,24,32820693584943807792,4994
178,2012-06-22T12:09:19+03:00,24,32820693584943807792,4994
188,2012-06-22T15:51:03+03:00,25,32820693584943807792,5023
198,2012-06-22T16:34:48+03:00,24,32820693584943807792,5025
208,2012-06-22T18:20:46+03:00,24,32820693584943807792,5025
218,2012-06-23T11:21:39+03:00,24,32820693584943807792,5025
227,2012-06-23T11:47:08+03:00,24,32820693584943807792,5030
237,2012-06-23T12:02:49+03:00,24,32820693584943807792,5031
247,2012-06-23T12:28:20+03:00,24,32820693584943807792,5062
257,2012-06-23T15:07:32+03:00,24,32820693584943807792,5062
267,2012-06-23T15:21:38+03:00,24,32820693584943807792,5071
277,2012-06-23T23:01:41+03:00,24,32820693584943807792,5070
287,2012-06-23T23:39:08+03:00,24,32820693584943807792,5070
297,2012-06-23T23:51:08+03:00,24,32820693584943807792,5072
307,2012-06-24T00:35:11+03:00,24,32820693584943807792,5072
316,2012-06-24T21:09:02+03:00,24,32820693584943807792,5095
326,2012-06-24T21:46:25+03:00,24,32820693584943807792,5096
336,2012-06-24T22:46:35+03:00,24,32820693584943807792,5096
346,2012-06-25T12:52:21+03:00,24,32820693584943807792,5165
356,2012-06-25T14:17:39+03:00,24,32820693584943807792,5165
366,2012-06-25T14:42:26+03:00,24,32820693584943807792,5165
376,2012-06-25T15:05:20+03:00,24,32820693584943807792,5172
386,2012-06-25T15:26:35+03:00,24,32820693584943807792,5172
396,2012-06-25T15:57:51+03:00,24,32820693584943807792,5172
405,2012-06-26T12:18:48+03:00,24,32820693584943807792,5173
415,2012-06-26T16:27:34+03:00,24,32820693584943807792,5172
425,2012-06-26T18:11:18+03:00,24,32820693584943807792,5173
435,2012-06-26T22:27:50+03:00,24,32820693584943807792,5172
445,2012-06-26T23:26:10+03:00,24,32820693584943807792,5172
455,2012-06-27T11:51:20+03:00,24,32820693584943807792,5173
465,2012-06-27T14:09:55+03:00,24,32820693584943807792,5173
475,2012-06-27T14:43:23+03:00,24,32820693584943807792,5183
