index,date,median,max,functions
1071,2010-07-16T23:56:18+02:00,24,2710349100,679
1160,2010-08-26T18:47:03+02:00,24.5,2710349100,716
1249,2010-10-13T17:17:56+02:00,26,2710349100,682
1338,2010-11-08T13:19:58+01:00,24,2716726392,754
1427,2010-12-15T15:59:06+01:00,24,2716726392,775
1517,2011-01-07T18:15:14+01:00,24,299008,785
1606,2011-03-08T17:11:15+01:00,24,299008,809
1695,2011-04-12T15:36:10+02:00,24.5,832518,850
1784,2011-05-20T11:44:54+02:00,26,2632704,890
1874,2011-06-20T11:52:15+02:00,26,2632704,892
1963,2011-09-01T22:16:20+04:00,28,269644660344,873
2052,2011-09-30T19:20:56+02:00,26,269644660344,899
2141,2011-10-31T15:47:12+01:00,26,843801825042,911
2230,2011-11-24T15:47:26+01:00,26,2531405475126,934
2320,2012-01-16T16:50:24+01:00,28,2531405475126,943
2409,2012-02-19T20:26:50+01:00,26,81051103060379525340,962
2498,2012-03-23T20:24:40+01:00,26,81051103060379525340,992
2587,2012-04-09T12:33:09+02:00,26,81051103060379525340,1006
2676,2012-04-26T11:25:13+02:00,26,81051103060379525340,1009
2766,2012-07-25T11:32:19+02:00,28,81051103060379525340,1102
2855,2012-10-30T19:10:46+01:00,28,81051103060379525340,1122
2944,2013-01-19T13:46:14+01:00,28,81051103060379525340,1135
3033,2013-02-21T11:44:58+01:00,30,81051103060379525340,1154
3123,2013-03-06T16:28:26+01:00,30,81051103060379525340,1177
3212,2013-03-26T11:45:22+01:00,30,81051103060379525340,1189
3301,2013-05-24T18:58:57+02:00,32,824003762793731251200,1215
3390,2013-07-08T15:57:23+02:00,30,1048891783342979865600,1234
3479,2013-08-22T11:54:28+02:00,30,1048891783342979865600,1247
3569,2013-10-25T12:01:49+02:00,30,1048891783342979865600,1256
3658,2013-11-19T11:24:36+01:00,28,81051103060379525340,1268
3747,2013-12-25T17:57:36+01:00,28,81051103060379525340,1286
3836,2014-02-03T16:15:53+01:00,28,81051103060379525340,1297
3925,2014-02-25T13:44:31+01:00,28,81051103060379525340,1308
4015,2014-03-14T17:38:05-04:00,28,81051103060379525340,1319
4104,2014-03-31T12:29:24+02:00,28,81051103060379525340,1334
4193,2014-04-22T16:14:38+02:00,30,81051103060379525340,1369
4282,2014-05-20T16:14:34+02:00,30,81051103060379525340,1377
4372,2014-06-23T10:07:13+02:00,30,81051103060379525340,1381
4461,2014-07-18T10:09:51+02:00,32,81051103060379525340,1408
4550,2014-08-25T10:17:33+02:00,32,81051103060379525340,1409
4639,2014-10-03T12:11:13+01:00,32,81051103060379525340,1410
4728,2014-11-14T17:13:35+01:00,30,81051103060379525340,1433
4818,2014-12-13T08:57:06+01:00,31.5,81051103060379525340,1440
4907,2015-01-13T10:40:09+01:00,31,81051103060379525340,1514
4996,2015-02-11T10:52:27+01:00,30.5,81051103060379525340,1524
5085,2015-03-22T22:24:08+01:00,30,81051103060379525340,1528
5174,2015-05-29T09:59:42+02:00,30,81051103060379525340,1538
5264,2015-07-25T17:25:44+02:00,31,81051103060379525340,1564
5353,2015-10-02T15:27:57+02:00,30,81051103060379525340,1590
5442,2015-11-17T15:43:24+01:00,28,81051103060379525340,1640
5531,2016-01-25T15:24:16+01:00,28,81051103060379525340,1646
5621,2016-05-05T08:56:28+02:00,28,81051103060379525340,1666
5710,2016-05-18T11:59:37+02:00,30,81051103060379525340,1783
5799,2016-06-15T17:15:51+02:00,30,81051103060379525340,1830
5888,2016-07-18T14:19:38+02:00,28,81051103060379525340,1848
5977,2016-10-06T08:48:21+02:00,28,81051103060379525340,1885
6067,2016-12-13T16:27:13+01:00,28,81051103060379525340,1915
6156,2017-03-15T01:05:15-07:00,30,81051103060379525340,1940
6245,2017-06-22T11:00:34+02:00,30,81051103060379525340,1995
6334,2017-09-28T17:38:40+08:00,28,81051103060379525340,2005
6423,2017-12-01T10:24:24+01:00,28.5,81051103060379525340,2054
6513,2017-12-29T12:43:48+02:00,30,81051103060379525340,2069
6602,2018-02-27T16:44:43+01:00,30,81051103060379525340,2078
6691,2018-03-16T16:57:53+01:00,30,81051103060379525340,2100
6780,2018-04-23T16:28:48+02:00,30,81051103060379525340,2190
6870,2018-05-27T16:34:58+08:00,30.5,81051103060379525340,2240
6959,2018-06-14T13:58:30+02:00,30,81051103060379525340,2242
7048,2018-06-28T18:17:04+08:00,31,81051103060379525340,2254
7137,2018-07-16T15:57:41+08:00,31,81051103060379525340,2259
7226,2018-07-31T13:14:24+02:00,31,81051103060379525340,2263
7316,2018-09-05T19:54:54+02:00,31,81051103060379525340,2269
7405,2018-09-26T13:39:16+02:00,30,81051103060379525340,2302
7494,2018-10-17T17:21:09+02:00,30,81051103060379525340,2317
7583,2018-11-28T17:12:32+01:00,30,162102206120759050680,2319
7672,2019-01-09T17:00:29+01:00,30,162102206120759050680,2346
7762,2019-01-17T18:05:43+01:00,30,162102206120759050680,2368
7851,2019-01-31T17:04:42+01:00,30,162102206120759050680,2386
7940,2019-02-25T16:41:00+01:00,30,162102206120759050680,2406
8029,2019-03-13T12:27:35+01:00,30,162102206120759050680,2434
8119,2019-04-26T17:25:20+02:00,30,162102206120759050680,2450
8208,2019-07-08T15:37:48+03:00,30,162102206120759050680,2477
8297,2019-08-30T17:25:56+08:00,30,162102206120759050680,2486
8386,2019-09-27T12:03:09+02:00,30,178312426732834955748,2521
8475,2019-10-23T18:39:53+02:00,28,178312426732834955748,2624
8565,2019-11-06T09:57:29+01:00,28,178312426732834955748,2649
8654,2019-11-25T17:54:21+01:00,28,178312426732834955748,2706
8743,2019-12-31T18:16:30+08:00,28,178312426732834955748,2750
8832,2020-02-06T10:14:32+02:00,28,178312426732834955748,2748
8921,2020-02-27T08:34:53+02:00,28,178312426732834955748,2763
9011,2020-03-20T12:52:06+01:00,28,178312426732834955748,2767
9100,2020-04-03T14:39:55+03:00,28,194522647344910860816,2776
9189,2020-04-23T16:12:08+02:00,28,1523760737535135076392,2783
9278,2020-05-09T11:10:35+02:00,28,1523760737535135076392,2809
